look;se;dk;no;fi;de;nl;fr
magic butterflies;magiska fjärilar;magiske sommerfugle;magiske sommerfugler;taikuiset perhoset;;;
makeups;smink;makeup;sminker;meikki;;;
malanda and elephant;mandala och elefant;mandala og elefant;malanda og elephant;malanda ja norsu;;;
malanda flower;mandala blomma;mandala blomst;malandablomst;malanda kukka;;;
male owl;manlig uggla;mandlig ugle;manneugle;poika pöllö;;;
man;man;mand;;;;;
man on the moon;man på månen;mand på månen;;mies kuussa;;;
mandala;mandala;mandala;mandala;;;;
mandala flower;mandala blomma;mandala blomst;mandalablomst;mandala kukka;;;
marble striped pattern;marmorstripe mönster;marmorstriped mønster;marmorstripete mønster;marmori raidallinen kuvio;;;
marble texture;marmor textur;marmor tekstur;marmortekstur;marmori pintainen;;;
marmor mønster;marmor mönster;marmor mønster;marmormønster;;;;
math;matte;matematik;matte;matematiikka;;;
meow cat;mjao katt;meow cat;meow katt;miau kissa;;;
mermaid;havsjungfru;havfrue;havfrue;merenneito;;;
merry-go-round;merry-go-round / karusell;merry-go-round;karusell;karuselli;;;
metal butterflies;metall fjärilar;metal sommerfugle;metall sommerfugler ;metalliset perhoset;;;
metal flower;metall blommor;metal blomst;;;;;
meteorite;meteorit;meteorit;;meteoriitti;;;
mice;möss;mus;;;;;
mini animals;;mini dyr;;;;;
mini dolphin;mini delfin;mini delfin;;;;;
mini pandas;mini pandor;mini pandaer;;;;;
mom and kid;mamma och barn;mor og barn;mor og barn;äiti ja lapsi;;;
monkey;apa;abe;ape;apina;;;
moon;måne;måne;måne;kuu;;;
moon and cat smile;måne och leende katt;måne og katte smil;;;;;
moon landing;månlandning;måne landing;;kuuhun laskeutuminen;;;
morning glory;morning glory;morning glory;;;;;
mountain and river;berg och flod;bjerg og flod;;vuori ja joki;;;
mouse;älg;mus;mus;;;;
mouth;mun;mund;munn;suu;;;
multi-hexagon pattern;multi-sexhörning mönster;multi-sekskant mønster;multi-heksagon mønster;multi-heksagon kuvio;;;
multiple cats;många katter;mange katte;flere katter;useita kissoja;;;
multiple color pattern;flerfärgsmönster;flerfarvet mønster;;;;;
multiple cute owls;flera söta ugglor;mange søde ugler;flere søte ugler;useat suloiset pöllöt;;;
multiple owls;många ugglor;mange søde ugler;flere ugler;useat pöllöt;;;
my princess;min princessa;min prinsesse;;;;;
mysterious pattern;mystiskt mönster;mystisk mønster;mystisk mønster;salaperäinen kuvio;;;
nebula;nebulosa;nebula;;tähtisumu;;;
never stop dreaming;sluta aldrig drömma;aldrig stop drømme;aldri slutt å drømme;älä koskaan lopeta unelmoimista;;;
night sky;natthimmel;nattehimmel;nattehimmel;yötaivas;;;
note;lapp;bemærk;;merkintä;;;
oil painting;oljemålning;olie maleri;oljemaleri;öljymaalaus;;;
one meter away from me;en meter från mig;en meter væk fra mig;en meter unna meg;yhden metrin päässä minusta;;;
orange with black spots pattern ;oranget mönster med svarta fläckar;orange med sorte pletter mønster;;;;;
orange cat;;orange kat;oransje katt;oranssi kissa;;;
oreo cookies;oreo kakor;oreo småkager;;oreo-evästeet;;;
owl;uggla;ugle;ugle;pöllö;;;
owl and moon;uggla och måne;ugle og måne;ugle og måne ;pöllö ja kuu;;;
owl and tree;uggla och träd;ugle og træ;ugle og tre ;pöllö ja puu;;;
owl moon stars;uggla med måne och stjärna;ugle med måne og stjerner;ugle måne stjerner;pöllö kuu tähdet;;;
owl on branch;uggla på gren;ugle på gren;ugle på gren;pöllö oksalla;;;
owl on the branch;uggla på en gren;ugle på en gren;ugle på gren;pöllö oksalla;;;
owl with bowknot;uggla med knut;ugle med sløjfe;ugle med sløyfe;pöllö ja rusetti;;;
owl with cap;uggla med keps;ugle med kasket;ugle med cap;pöllö ja lakki;;;
owls;ugglor;ugler;ugler;pöllöt;;;
painting;målning;maleri;;maalaus;;;
panda and bear;panda och björn;panda og bjørn;panda og bamse;panda ja karhu;;;
panda and heart;panda och hjärta;panda og hjerte;panda og hjerte;panda ja sydän;;;
panda bamboo;panda bambu;panda bambus;panda bambus;panda bambu;;;
panda climbing on bamboo;panda som klättrar på bambu;panda klatrer bambus;panda som klatrer på bambus;panda kipeää bambua;;;
panda climbing tree;panda klättrar ett träd;panda klatrer et træ;panda som klatrer i et tre;panda kiipeää puuhun;;;
panda eating;panda äter;panda spiser;;;;;
panda eating bamboo;panda äter bambu;panda spiser bambus;;;;;
panda head;panda huvud;panda hovede;pandahode;panda pää;;;
panda holding a bottle;panda håller en flaska;panda holder en flaske;panda som holder en flaske;panda pitää pulloa;;;
panda holding bamboo;panda håller bambu;panda holder bambus;panda som holder bambus;panda pitää bambua;;;
panda sitting;;panda sidder;;panda istuu;;;
panda on bamboo;panda på bambus;panda på bambus;panda på bambus;panda bambussa;;;
panda on the tree;panda i ett träd;panda på et træ;;panda puussa;;;
panda pattern;pandamönster;pandamønster;pandamønster;panda kuvio;;;
panda playing football;panda spelar fotboll;panda spiller fodbold;panda som leker med en ball;panda pelaa jalkapalloa;;;
panda say hello;panda säger hej;panda siger hello;panda som sier hei;panda sanoo hei;;;
panda wanna hug;panda vill kramas;panda vil kramme;panda som vil klemme;panda haluaa halin;;;
panda with bottle;panda med flaska;panda med flaske;panda med flaske;panda ja pullo;;;
panda with heart;panda med hjärta;panda med hjerte;panda med hjerte;panda sydämellä;;;
panda with moustache;panda med mustasch ;panda med overskæg;;panda viiksillä;;;
pandas;pandor;pandaer;pandaer;pandat;;;
paris eiffel tower;eifeltornet i paris;paris eiffel tårn;paris eiffeltårnet;paris eiffel torni;;;
paris tower;paris torn;paris tårn;paris-tårnet;pariisin torni;;;
peach blossom;persikoblomma;fersken blomst;ferskenblomst;;;;
peach flower;periskoblomma;fersken blomst;ferskenblomster;persikankukka;;;
pearl triangle tile;pärl triangel plattor;perle trekant flise;;;;;
penguin;pingvin;pingvin;pingvin;pingviini;;;
penguin with piano;pingvin med piano;pingvin med piano;pingvin med piano;pingviini pianolla;;;
penguins;pingviner;pingviner;pingviner;pingviinit;;;
peony;pion;peony;peon;pioni;;;
person lake;människa vid flod;person ved flod;;henkilö lake;;;
petals pattern;kronblandsmönster;kronblademønster;bladmønster;terälehti kuvio;;;
piano and people;piano och människa;piano og mennesker;;piano ja ihmiset;;;
pig;gris;svin;gris;sika;;;
pineapple;ananas;ananas;ananas;ananas;;;
pineapple with sunglasses;ananas med solglasögon;ananas med solbriller;ananas med solbriller;ananas ja aurinkolasit;;;
pink / orange marble;rosa / orange marmor;lyserød / orange marmor;rosa / oransje marmor;vaaleanpunainen / oranssi marmori;;;
pink butterflies;;lyserød sommerfugle;;;;;
pink agate marble;rosa agat marmor;lyserødt agate marmor;;;;;
pink and green doughnut;rosa och grön munk;pink og grøn doughnut;rosa og grønn doughnut;vaaleanpunainen ja vihreä donitsi;;;
pink bowknot;rosa knut;pink sløjfe;;;;;
pink cat;rosa katt;pink kat;;;;;
pink elephant;rosa elefant;lyserød elefant;rosa elefant;pinkki norsu;;;
pink flower;rosa blomma;lyserød blomst;rosa blomst;pinkki kukka;;;
pink flowers;rosa blommor;lyserøde blomster;rosa blomster;pinkit kukat;;;
pink flowers and butterflies;rosa blommor och fjärilar;lyserøde blomster og sommerfugle;rosa blomster og sommerfugler;pinkit kukat ja perhoset;;;
pink glitter and marble;rosa glitter och marmor;lyserødt glimmer og marmor;rosa glitter og marmor;pinkki glitteri ja marmori;;;
pink ice cream;rosa glass;lyserød is;rosa iskrem;vaaleanpunainen jäätelö;;;
pink leopard;rosa leopard;lyserød leopard;;;;;
pink mandala;rosa mandala;lyserød mandala;rosa mandala;pinkki mandala;;;
pink marble;rosa marmor;lyserødt marmor;rosa marmor;pinkki marmori;;;
pink peach;rosa persika;pink fersken;;;;;
pink peach flowers;rosa nyblomster;lyserøde fersken blomster;rosa ferskenblomster;pinkit persikan kukat;;;
pink pig;rosa gris;lyserød gris;rosa gris;vaaleanpunainen sika;;;
pixie moon pattern;pixie månmönster;pixie moon mønster;alv måne mønster;pixie moon kuvio;;;
pizzas;pizzor;pizzaer;;pizzat;;;
planet;planet;planet;planet;planeetta;;;
planets;planeter;planeter;planeter;planeetat;;;
plum;;;plomme;;;;
plum blossom;plommonblomma;blommetræ i blomst;plommeblomst;luumu kukka;;;
plum marble;plommonmarmor;blomme marmor;plommemarmor ;luumu marmori;;;
polar bear;isbjörn;isbjørn;isbjørn;jääkarhu;;;
pretty flower;vacker blomma;smuk blomst;vakker blomst;kaunis kukka;;;
pretty flowers;vackra blommor;smukke blomster;vakre blomster;kauniit kukat;;;
pretty flowers and butterflies;vackra blommor och fjärilar;flotte blomster og sommerfugle;;kauniita kukkia ja perhosia;;;
pretty girl;vacker tjej;flot pige;pen jente;kaunis tyttö;;;
pretty girl's back;vacker tjejsrygg;flot piges ryg;;kauniita tyttöjä takaisin;;;
pretty hearts;fina hjärtan;flotte hjerter;vakre hjerter;kauniit sydämet;;;
princess;prinsessa;prinsesse;prinsesse;prinsessa;;;
purple / rose and blue shade;lila/rosa och blå skugga;lilla / lyserød og blå skygge;lilla / rosa og blå nyanser;violetti / ruusu ja sininen värisävy;;;
purple aurora;lila norrsken;lilla aurora;;purppura aurora;;;
purple hue marble;;;lilla fargetone marmor;;;;
purple butterflies;lila fjärilar;lilla sommerfugle;lilla sommerfugler;violetit perhoset;;;
purple butterfly;lila fjäril;lille sommerfugl;;violetti perhonen;;;
purple clouds;lila moln;lilla skyer;lilla skyer;violetit pilvet;;;
purple dreamy tile;lila drömmig marmor;lilla drømme marmor;;;;;
purple feather and birds;lila fjäder och fåglar;lilla fjer og fugle;lilla fjær og fugler;violetti sulka ja linnut;;;
purple flower;lila blomma;lilla blomst;lilla blomst;violetti kukka;;;
purple leopard;lila leopard;lille leopard;;;;;
purple marble;lila marmor;lilla marmor;lilla marmor;violetti marmori;;;
purple tree;lila träd;lilla træ;;violetti puu;;;
purple wavy lines;lila vågiga linjer;lilla bølget linjer;;;;;
quill pen;fjäderpenna;fjerpen;fjærpenn;sulkakynä;;;
quote keep calm and sparkle;citat: keep calm and sparkle;citat: keep calm and sparkle;sitat keep calm and sparkle;lainaus pidä rauhallinen ja kimalteleva;;;
rabbit;kanin;kanin;kanin;kani;;;
rainbow horse;regnbågshäst;regnbue hest;regnbue hest;sateenkaari hevonen;;;
rainbow unicorn;regnbågsenhörning;regnbue enhjørning;;;;;
red butterflies;röda fjärilar;røde sommerfugle;røde sommerfugler;punainen perhosia;;;
red camouflage;röd camouflage;rød camouflage;;;;;
red checkered pattern;rött schackmönster;rødt ternet mønster;;;;;
red flower;röd blomma;rød blomst;rød blomst;punainen kukka;;;
red flowers;röd blommor;rød blomster;rød blomster ;punaiset kukat;;;
red girl;röd tjej;rød pige;rød jente;punainen tyttö;;;
red hair girl;rödhårig tjej;rødhåret pige;rødt hår jente;punaiset hiukset tyttö;;;
red leopard;röd leopard;rød leopad;;;;;
red light;rött ljus;rødt lys;;punainen valo;;;
red lollipop;rödklubba;rød slikkepind;;;;;
red outer layer / black;rött yttre lager / svart;rødt ydre lag / sort;;;;;
red petal;rött blomblad;rødt blad;rød kronblad;punainen terälehti;;;
red rose;röd ros;rød rose;rød rosa;punainen ruusu;;;
red shoe;röd sko;røde sko;;;;;
red strawberry;röd jordgubbe;rødt jordbær;rød jordbær;;;;
red vastness of space;rött universum;rødt univers;rødt uendelig rom;punainen avaruuden laajuus;;;
red wires;röda trådar;røde ledninger;;punaiset johdot;;;
reflection;reflektion;reflektion;;;;;
relaxing seaside view;avslappnande havsutsikt;afslappende havkig;;;;;
retro flower;retroblomma;retro blomst;retroblomst;retro kukka;;;
road;väg;vej;;tie;;;
rose colored stars in space;rosa stjärna i rymden;lyserøde stjernet i rummet;rosefargede stjerner i rommet;ruusu värjätyt tähdet avaruudessa;;;
rose flower;rosa blomma;rose blomst ;rose blomst;ruusu kukka;;;
rose heart;rosa hjärta;rosa hjerte;;;;;
rose high heel;rosa högklack;rosa højhæl;;;;;
rose outer layer / blue;rosa yttre lager / blå;rosa ydre lag / blå;;;;;
rose triangle tile;rosa triangel platta;rosa trekanter flise;;;;;
rose wavy lines;rosa vågig linje;rosa bølget linjer;;;;;
roses;rosor;roser;roser;ruusut;;;
roses & blue butterfly;rosor och blå fjäril;roser & blå sommerfugle;;;;;
roses and blue butterflies;rosor och blå fjäril;roser og blå sommerfugle;roser og sommerfugler;ruusut ja siniset perhoset;;;
roses and butterflies;rosor och fjärilar;roser og roser og sommerfugle;roser og roser og sommerfugl;ruusut ja ruusut ja perhoset;;;
roses and butterfly and flower;rosor, fjäril och blommor;roser og sommerfugl og blomst;roser og sommerfugler og blomster;ruusut ja perhonen ja kukka;;;
roses and colorized butterfly;rosor och färgad fjäril;roser og farvet sommerfugl;roser og fargelagt sommerfugl;ruusut ja värjätty perhonen;;;
roses and cute panda;rosor och söt panda;roser og sød panda;roser og søt panda;ruusut ja suloinen panda;;;
roses and flower pattern;rosor och blomstermönster;roser og blomstermønster;roser og blomstermønster;ruusut ja kukka kuvio;;;
roses and kiss my ass;roser & kiss my ass;roser og kiss my ass;roser og kiss my ass;ruusut ja kiss my ass;;;
roses and owl on the branch;rosor och uggla på en gren;roser og ugle på en gren;roser og ugle på en gren;ruusut ja pöllö oksalla;;;
roses and panda;rosor och panda;roser og panda;roser og panda;ruusut ja panda;;;
roses and tree and owls;rosor, träd och ugglor;roser og træ og ugler;roser og tre med ugle;ruusut ja puu ja pöllöt;;;
roses in black background;rosor på en svart bakgrund;roser på en sort baggrunnd;roser med svart bakgrunn;ruusut mustalla taustalla;;;
running people;springande människor;løbende mennesker;kjører mennesker;juoksevat ihmiset;;;
sad panda;ledsen panda;trist panda;;;;;
sakura;sakura;sakura;sakura;sakura;;;
santa and reindeer;jultomte och renar;julemand og rensdyr;;;;;
scarlet flowers;scharlakansröd blomma;scarlet blomst;skarlagensblomst;tulipunaiset kukat;;;
science fiction;science fiction;science fiction;;tieteiskirjallisuus;;;
sea lion and fur seal;sjölejon med pälssäl;søløver og sælpels;sjøløve og sel;merileijona ja turkishylje;;;
sea lions;sjölejon;søløver;sjøløver;merileijonat;;;
sea star;sjöstjärna;søstjerne;sjøstjerne;meritähti;;;
sea wave;sjövåg;bølge;;;;;
seal;säl;sæl;;;;;
semicircle butterfly;semicirkel fjäril;semicirkel sommerfugl;halvsirkel sommerfugl;puoliympyrä perhonen;;;
sexy view;sexig utsikt;sexet udsigt;sexy utsikt;seksikäs näky;;;
shiny butterfly;skinande fjäril;skinnende sommerfugl;skinnende sommerbugl;kiiltävä perhonen;;;
shiny leopard pattern;glänsande leopard mönster;skinnende leopard mønster;;;;;
shiny pink marble;skinande rosa marmor;skinnende lyserød marmor;skinnende rosa marmor;kiiltävä pinkki marmori;;;
shopping girl;shopping tjej;shopping pige;shoppingjente;shopping tyttö;;;
shy panda;blyg panda;genert panda;sjenert panda;ujo panda;;;
single unicorn;ensam enhörning;enkelt enhjørning;enslig enhjørning;yksi yksisarvinen;;;
skull;kranium;kranium;skalle;pääkallo;;;
skull and flower;dödskalle och blommor;kranium og blomst;skalle og blomster ;kallo ja kukka;;;
skull and rose;dödskalle och rosor;kranium og rose;hodeskalle og rose;;;;
skull lake;dödskallesjö;kranium sø;skull lake;kallojärvi;;;
skull reflection;dödskalle reflektion;kranium reflektion;hodeskalle refleksjon;kallon heijastus;;;
sky blue and white marble tile;himmelsblå och vita marmor plattor;himmelblå og hvidt marmorflise;;;;;
sky blue camouflage;himmelsblå camouflage;himmelblå camouflage;;;;;
sky blue marble tile;himmelsblå marmor plattor;himmelblå marmorflise;;;;;
sky dragon;drakhimmel;drage på himlen;;taivaslohikäärme;;;
sleeping panda;sovande panda;sovende panda;sovende panda;nukkuva panda;;;
small cat;liten katt;lille kat;;;;;
smile;leende;smil;smil;hymy;;;
smile dogs;leende hund;smilende hunde;smil hunder;hymy koirat;;;
smile panda;leende panda;smilende panda;;;;;
smile face;;smiley ansigt;;hymiö;;;
smiling bear;leende björn;smilende bjørn;;hymyilevä karhu;;;
smiling leopard;leende leopard;smilende leopard;smilende leopard;hymyilevä leopardi;;;
smiling panda;leende panda;smilende panda;smilende panda;;;;
smooth black;len svart;glat sort;;;;;
snow leopard;snöleopard;sneleopard;;;;;
snow mountain;snöberg;snebjerg;;lumivuori;;;
snowflake;snösjö;snefnug;;;;;
sock;strumpa;sok;sokk;sukka;;;
sock cat;strumpkatt;sok kat;sokk katt;sukka kissa;;;
soldier looking cool;soldat ser cool ut;soldat ser sej ud;kul soldat;coolilta näyttävä sotilas;;;
spaceman;rymdman;rummand;;avaruusmies;;;
sparkling marble pattern;gnistrande marmormönster;skinnende marmormønster;glittrende marmormønster;säihkyvä marmori kuvio;;;
splashing ink;stänkande bläck;splattet blæk;;;;;
spray rose;rosa spray;spray rose;spray rose;spray nousi;;;
spun sugar;sockersött;skumfidusser;;;;;
squares;fyrkanter;firkanter;ruter;neliöt;;;
squirrels;ekorrar;egern;;;;;
stairs;trappa;trapper;trapp;portaat;;;
starfish;sjöstjärna;søstjerne;sjøstjerne;meritähti;;;
starry;stjärnklart;stjerne;;;;;
starry night;stjärnklar natt;stjernenat;;;;;
starry night oil painting;stjärnenatt oljemålning;stjernenat oliemaleri;;;;;
stars and girl;stjärnor och tjej;stjerner og pige;;tähdet ja tyttö;;;
statice;rispar;statisk;statisk;staattinen;;;
stay beautiful;stay beautiful;stay beautiful;stay vakker;;;;
steel wire;ståltråd;ståltråd;;teräsvaijeri;;;
stone grain;sten ådra;stenkorn;;kivirake;;;
strawberry;jordgubbar;jordbær;jordbær;mansikka;;;
strawberry cake;jordgubbskaka;jordbærkage;jordbærkake;mansikkakakku;;;
string of sunflower;rad av solrosor;solsikke bundt;;;;;
stripes and cat;ränder och katt;striper og kat;striper og katt;raidat ja kissa;;;
sugar skull;sockerskalle;sukkerskalle;sukkerskalle;sokerikallo;;;
summer beauty;sommskönhet;sommerskønhed;summer beauty;kesäkauneus;;;
summer view;sommar utsikt;sommer udsigt;;;;;
sunflowers;solros ;solsikker;solsikker;auringonkukat;;;
sunset;solnedgång;solnedgang;solnedgang;auringonlasku;;;
sweet flower;söt blomma;sød blomst;yndige blomster;makea kukka;;;
swimming penguin;simmande pingvin;svømning penguin;;;;;
swimming bear;;svømning bjørn;;;;;
swirl;virvel;hvirvel;;kiehkura;;;
symmetric pattern;symetriskt mönster;symetrisk mønster;symetrisk mønster;symmetrinen kuvio;;;
tea rose marble;te rose marble;te rose marble;te rosa marmor;tea rose marmori;;;
teal flowers in black background;kricka blomma på svart bakgrund;teal blomster på sort baggrund;sjøgrønn blomst med svart bakgrunn;teal kukat mustalla taustalla;;;
teddy bear;nallebjörn;bamse;;;;;
telescope and boy;teleskop och pojke;teleskop og dreng;teleskop og gutt ;kaukoputki ja poika;;;
teloon;teloon;teloon;;teloon;;;
the union jack;storbritanniens flagga;storbritannien flag;union jack-flagget;the union jack;;;
three pandas climbing branch;tre pandor klättrar på en gren;træ pandaer klatrer en gren;tre pandaer som klatrer på en gren;kolme pandaa kiipeää oksalle;;;
three unicorns;tre enhörningar;tre enhjørninger;tre enhjørning;kolme yksisarvista;;;
thulian pink marble;thulian pink marble;thulian pink marble;thulian rosa marmor;thulian vaaleanpunainen marmori;;;
tiger;tiger;tiger;tiger;tiikeri;;;
tiger face;tiger ansikte;tiger ansigt;tiger ansikt;tiikeri kasvot;;;
time flies;tiden går fort;tiden flyver;tiden flyr;aika lentää;;;
touching face cat;katt som tar sig på ansiktet;kat rører sit ansigt;;;;;
tower;torn;tårn;;;;;
tower and bicycle;torn och cykel;tårn og cykel;tårn og sykkel;torni ja polkupyörä;;;
town;stad;by;by;kaupunki;;;
tree;träd;træ;tre pandaer som klatrer på en gren;puu;;;
tree and couple owls;träd och ett par ugglor;træ og et uglepar;tre og par ugler;puu ja pari pöllöt;;;
couple owls;;uglepar;;pari pöllöjä;;;
